iso_alpha_3,year,frac_trns_mtkm_dem_freight_water_borne,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_aviation
BHR,2018,0.15851426193239687,0.5925370643103491,0.24305520159234378,0.005893472164910228
BHR,2019,0.157977283486892,0.5954791261092229,0.24223183467990106,0.004311755723984007
BHR,2020,0.15733357302541545,0.5987935251797212,0.24124481209095588,0.0026280897039074394
BIH,2011,0.1304347604028147,0.7077929128096208,0.16177215654247729,1.7024508731167268e-07
BIH,2012,0.13043476979373458,0.7250564756356922,0.14450865632253831,9.824803493225608e-08
BIH,2013,0.13043477508903528,0.7338457419834307,0.13571942527680467,5.7650729321120574e-08
BIH,2014,0.130434777395087,0.7409330189567694,0.12863216367714378,3.9970999832653965e-08
BIH,2015,0.130434781556929,0.7503730487350936,0.1191921616444331,8.063544372523857e-09
BIH,2016,0.13043477628291766,0.7732840592508053,0.09628111596864584,4.8497631200154415e-08
BIH,2017,0.1304347765788557,0.7787447111432133,0.09082046604915793,4.6228772974001025e-08
BIH,2018,0.13043477666769454,0.7755061289146283,0.09405904887000203,4.554767525714571e-08
BIH,2019,0.13043477683488378,0.7714505237579409,0.09811465514128424,4.426589117832995e-08
BIH,2020,0.13043477589357896,0.7764869738250934,0.09307819879876637,5.1482561414709436e-08
BLR,2011,0.13043391750878258,0.6580152484208484,0.21154420163770218,6.632432666817809e-06
BLR,2012,0.13043379735231633,0.6614528527131452,0.2081057963022969,7.553632241536494e-06
BLR,2013,0.13043382150491215,0.679186142390052,0.19037266764269548,7.3684623403930115e-06
BLR,2014,0.13043376422224423,0.6767369824064109,0.1928214457418839,7.80762946098472e-06
BLR,2015,0.1304337106272709,0.6840613847443823,0.18549668610409054,8.218524256223895e-06
BLR,2016,0.13043403496548703,0.6834445154441273,0.18611571765911947,5.731931266121226e-06
BLR,2017,0.13043374227209856,0.6674096162520025,0.20214866556198796,7.975913911116304e-06
BLR,2018,0.1304338002703014,0.6612085753318966,0.2083500931367796,7.531261022504203e-06
BLR,2019,0.13043320636586136,0.6675592545704229,0.2019954545353196,1.2084528396108459e-05
BLR,2020,0.13043368339745495,0.6796945700616811,0.1898633192546853,8.427286178734536e-06
BLZ,2011,0.10791356556292334,0.7266180081705215,0.16546746716667665,9.590998786454927e-07
BLZ,2012,0.10791358522155378,0.726618140469659,0.16546749738398878,7.769247984800225e-07
BLZ,2013,0.10791202088203304,0.7266076072374567,0.16546509869174242,1.52731887679891e-05
BLZ,2014,0.10790953062763432,0.7265908395040899,0.16546128034251062,3.8349525765119336e-05
BLZ,2015,0.10791027640748839,0.7265958611905498,0.1654624237950371,3.143860692474824e-05
