iso_alpha_3,year,frac_trns_mtkm_dem_freight_rail_freight
ABW,2011,0.16546762587339678
ABW,2012,0.16546762585922783
ABW,2013,0.36822066546373017
ABW,2014,0.3682225551443141
ABW,2015,0.36821635962439486
ABW,2016,0.3682188964140265
ABW,2017,0.36822145389657596
ABW,2018,0.36822406232232885
ABW,2019,0.36822066546373017
ABW,2020,0.36822066546373017
ABW,2021,0.16546762595465286
AFG,2011,0.1654676258572438
AFG,2012,0.16546762586887806
AFG,2013,0.165467625854598
AFG,2014,0.16546762586944921
AFG,2015,0.1654676259484499
AFG,2016,0.16546762593774486
AFG,2017,0.16546762589671785
AFG,2018,0.16546762594127112
AFG,2019,0.1654676259423855
AFG,2020,0.16546762594878212
AFG,2021,0.16546762587674885
AGO,2011,0.36414200669775704
AGO,2012,0.3393751716249357
AGO,2013,0.3234921694825788
AGO,2014,0.3126109735735245
AGO,2015,0.30478043937401716
AGO,2016,0.32137566355885405
AGO,2017,0.3399817048674929
AGO,2018,0.3609786994250023
AGO,2019,0.38490399809181275
AGO,2020,0.41239501181421945
AGO,2021,0.3024293547684105
ALB,2011,0.005639203744431286
ALB,2012,0.0033465410152066825
ALB,2013,0.002840909090909091
ALB,2014,0.004892547585863592
ALB,2015,0.002843117340985577
ALB,2016,0.0010841639782035472
ALB,2017,0.003109701798571615
ALB,2018,0.0025091654238033356
ALB,2019,0.005272073743857812
ALB,2020,0.003200200304640708
ALB,2021,0.0030870581361389714
ARE,2011,0.20464838717474912
ARE,2012,0.20412670309173986
ARE,2013,0.20341966145908605
ARE,2014,0.2027666908169478
ARE,2015,0.20225928206508684
ARE,2016,0.2022151683697832
ARE,2017,0.20220686607740132
ARE,2018,0.20222047244905741
ARE,2019,0.20222887084052746
ARE,2020,0.2022123197367639
ARE,2021,0.20412217896619392
ARG,2011,0.016852240523835254
ARG,2012,0.014016403998756864
ARG,2013,0.012381033035821484
ARG,2014,0.010854525280742846
ARG,2015,0.009714756556690239
ARG,2016,0.01025076043563841
ARG,2017,0.01031743211959543
ARG,2018,0.22419790049497507
ARG,2019,0.22617516888644457
ARG,2020,0.22823764383602393
ARG,2021,0.22489391669800732
ARM,2011,0.1517461970469
ARM,2012,0.13930396220958258
ARM,2013,0.13653136531365315
ARM,2014,0.12433659466428328
ARM,2015,0.114463541573516
ARM,2016,0.10967489228358793
ARM,2017,0.1058014459530947
ARM,2018,0.5093182331800113
ARM,2019,0.5095792016411151
ARM,2020,0.5098377417739821
ARM,2021,0.5100844047656663
AUS,2011,0.2562086430778498
AUS,2012,0.26832226687022537
AUS,2013,0.2787818167052136
AUS,2014,0.2950653620568803
AUS,2015,0.3046697846416652
AUS,2016,0.3074268780743
AUS,2017,0.3108628144490668
AUS,2018,0.2918279026470818
AUS,2019,0.2894469930009537
AUS,2020,0.28933104117024105
AUS,2021,0.2874798832727824
AUT,2011,0.20730179105775248
AUT,2012,0.20696095200107886
AUT,2013,0.20689325454385724
AUT,2014,0.20870315553956112
AUT,2015,0.20677350832196315
AUT,2016,0.20491062011134112
AUT,2017,0.2080008678884811
AUT,2018,0.20664837704577688
AUT,2019,0.20349821736230994
AUT,2020,0.20004923105500153
AUT,2021,0.20328971647382132
AZE,2011,0.06678607852919091
AZE,2012,0.0700637757822665
AZE,2013,0.06740389143552164
AZE,2014,0.061421007634503755
AZE,2015,0.05269678558093751
AZE,2016,0.04503652712166975
AZE,2017,0.039359074887584944
AZE,2018,0.03762405594358737
AZE,2019,0.04441237650178399
AZE,2020,0.05313671691389469
AZE,2021,0.056428328804347824
BDI,2011,0.16546762585951064
BDI,2012,0.1654676259369194
BDI,2013,0.16546762587187247
BDI,2014,0.16546762589786626
BDI,2015,0.1654676258571781
BDI,2016,0.16546762592142394
BDI,2017,0.1654676258781235
BDI,2018,0.1654676258600848
BDI,2019,0.1654676259367772
BDI,2020,0.1654676259340205
BDI,2021,0.16546762586464037
BEL,2011,0.06449211974274403
BEL,2012,0.2067412864102092
BEL,2013,0.2063469985246696
BEL,2014,0.20611202688673932
BEL,2015,0.180531939392173
BEL,2016,0.18044655459598066
BEL,2017,0.16678117028904976
BEL,2018,0.16689370131755782
BEL,2019,0.16695871615140756
BEL,2020,0.16705368485759084
BEL,2021,0.18857361241858292
BEN,2011,0.1654676258600275
BEN,2012,0.16546762591669736
BEN,2013,0.16546762583747424
BEN,2014,0.16546762592744851
BEN,2015,0.16546762595376163
BEN,2016,0.1654676258947308
BEN,2017,0.1654676258728282
BEN,2018,0.16546762589694328
BEN,2019,0.16546762584770855
BEN,2020,0.1654676258814892
BEN,2021,0.16546762585269764
BFA,2011,0.16546762593401423
BFA,2012,0.16546762590731828
BFA,2013,0.1654676258696096
BFA,2014,0.165467625901126
BFA,2015,0.16546762592283307
BFA,2016,0.16546762592289832
BFA,2017,0.16546762590074912
BFA,2018,0.16546762592934622
BFA,2019,0.1654676259343012
BFA,2020,0.1654676258554821
BFA,2021,0.16546762591099912
BGD,2011,0.39744068213540434
BGD,2012,0.3938390471008735
BGD,2013,0.3906481959393279
BGD,2014,0.38780915666364196
BGD,2015,0.38526682223233033
BGD,2016,0.38134408140470916
BGD,2017,0.377854685420279
BGD,2018,0.3747335515372949
BGD,2019,0.37192784043176863
BGD,2020,0.3693937556423606
BGD,2021,0.36621685565155626
BGR,2011,0.056212833299314126
BGR,2012,0.044708197527827315
BGR,2013,0.04494957712639818
BGR,2014,0.046524904826197894
BGR,2015,0.04304077789425647
BGR,2016,0.03749622608237049
BGR,2017,0.04265361703974566
BGR,2018,0.05217391304347826
BGR,2019,0.06684772114480664
BGR,2020,0.05177927288240252
BGR,2021,0.04994986783337891
BHR,2011,0.2808340276845382
BHR,2012,0.27107364298599623
BHR,2013,0.26240943025379054
BHR,2014,0.25498150807097403
BHR,2015,0.24873794564865404
BHR,2016,0.24702783559401026
BHR,2017,0.24567096997200413
BHR,2018,0.24449613274510526
BHR,2019,0.2432808020707651
BHR,2020,0.24188049573136355
BHR,2021,0.2428035770743245
BIH,2011,0.16177218408339689
BIH,2012,0.14450867052023122
BIH,2013,0.135719433101129
BIH,2014,0.12863216881870015
BIH,2015,0.1191921626055444
BIH,2016,0.09628112063805212
