old_country_name,new_country_name
"China (P.R. of China and Hong Kong, China)","China"
"Czech Republic","Czechia"
"Korea","Korea, Rep."
"Republic of Moldova","Moldova"
"Former Yugoslav Republic of Macedonia","North Macedonia"
"Turkey","Turkiye"
"Montenegro","MN"
